"","sector","code","description","region","nondis","estab","employ","wage","bea.comp.st","bea.earn.st","bea.empl.st","gdp.comp.st","us.comp.gdp.ratio","us.comp.out.ratio","st.output","st.gdp.est","gdp","taxsub.est","taxsub.st","surplus.est","surplus.st","check","output","jobs.1000output.ratio","earn.output.ratio","comp.output.ratio","valueadded.output.ratio","taxsub.output.ratio","surplus.output.ratio","Code","Description","st.total.dem","rpc"
"37",36,"321100","Sawmills and wood preservation",34000,0,15,93,4587228,5922621.95786181,6388452.09445385,99.3931724080821,5971503.73623364,0.801301452784504,0.189635412936036,31489391.3735818,7452256.22078034,6949310.13500451,124094.823839366,279075.625383766,1255671.35308647,583691.918687964,0,31489391.3735818,0.00315640182526578,0.202876328051658,0.188083087653153,0.220687343637727,0.00886252840116492,0.0185361448166209,"321100","Sawmills and wood preservation",335266124.64859,0.528834908715816
"38",37,"321200","Veneer, plywood, and engineered wood product manufacturing",34000,0,11,280,12913318,16672530.9349464,17983870.3076125,299.248261013581,16810136.0307735,0.802851610631931,0.210407344189694,79893295.053514,20938036.1304153,19524946.8587045,1316327.16896388,2960275.18733382,2532984.65672684,1177443.9789981,0,79893295.053514,0.00374559918718008,0.225098618045063,0.208684983186371,0.24438780307692,0.0370528613865654,0.0147377070655232,"321200","Veneer, plywood, and engineered wood product manufacturing",404447831.491719,0.570670232195569
"39",38,"321910","Millwork",34000,0,54,781,35716836,46114410.9599412,49741433.3343502,834.688899470023,46495011.7195928,0.852542749278259,0.275039403926064,169048547.429559,54536868.3962819,50856224.081625,1208442.36658536,2717654.11933374,6290676.61857987,2924186.40938092,0,169048547.429559,0.00493756919039977,0.29424348266037,0.272787975177112,0.300837983259315,0.0160761755167767,0.0172979091145365,"321910","Millwork",572124619.944876,0.718417414810169
"40",39,"3219A0","All other wood product manufacturing",34000,0,66,991,33587682,43365436.1472506,46776244.2635835,1059.12509523021,43723348.5134001,0.774119448698316,0.257350133638793,169898293.407411,56481397.7828887,52669518.924666,463782.134482128,1042995.06794867,11433237.8370159,5314677.69293301,0,169898293.407411,0.00623387718610251,0.27531909429729,0.255243506438653,0.310006168210096,0.00613893787295203,0.0312815248837643,"3219A0","All other wood product manufacturing",597397251.187433,0.702832584324427
"41",40,"327100","Clay product and refractory manufacturing",34000,0,33,858,70123037,87994136.9666541,89557262.373111,916.982171248758,94834222.2048367,0.715579289528674,0.356135890917495,266286618.74129,132527902.347901,110840018.040839,2264667.19006126,5400196.58797887,29234794.6353363,15976162.495757,0,266286618.74129,0.00344359087806679,0.336319048987287,0.330448962785263,0.416243289147494,0.0202796393356341,0.059996114604912,"327100","Clay product and refractory manufacturing",236101463.504721,0.902366945193397
"42",41,"327200","Glass and glass product manufacturing",34000,0,95,4892,265078174,332634268.961091,338543174.881361,5228.29461742299,358491068.416908,0.674669867947179,0.265208065208065,1351735167.38889,531357757.991609,444402291.43084,9748429.61667563,23245550.8629062,134829026.539096,73681052.4582822,0,1351735167.38889,0.00386783945817015,0.250450815402928,0.246079466589326,0.328764318745423,0.0171968233302748,0.0545084971049542,"327200","Glass and glass product manufacturing",746434293.422942,0.912537631717838
"43",42,"327310","Cement manufacturing",34000,1,4,170,11627177,14590403.5142336,14849587.0372471,181.686444186817,15724565.4838504,0.286595949855352,0.143602628527252,109500540.798711,54866670.2784418,45887866.7492889,1690372.71921199,4030766.65337932,31046217.2722287,16966064.5202612,0,109500540.798711,0.00165922873861237,0.135611997246154,0.133245036123194,0.419065206569548,0.0368104725691617,0.154940463275419,"327310","Cement manufacturing",166347760.072355,0.908820007472104
"44",43,"327320","Ready-mix concrete manufacturing",34000,0,51,1090,72382764,90829763.2551339,92443260.6482656,1164.9307303743,97890271.4235873,0.739366053169734,0.207996548252553,470634115.06583,132397573.575257,110731017.270019,3464590.11090243,8261464.5444369,25395671.9567129,13878167.6741789,0,470634115.06583,0.00247523648006552,0.196422778734039,0.192994431018731,0.235280473143199,0.0175539007478906,0.0294882313668182,"327320","Ready-mix concrete manufacturing",1331872914.97268,0.904333968756663
"45",44,"327330","Concrete pipe, brick, and block manufacturing",34000,1,24,543,31881000,40005983.7772557,40716648.9625535,580.32787760848,43115785.7311913,0.519011867280213,0.238508625486923,180772438.075013,83072832.1437652,69478155.546045,3028837.00612451,7222392.47241237,30406158.1670388,16616286.5109079,0,180772438.075013,0.00321026747101605,0.225237040536333,0.221305770964126,0.384340424269845,0.0399529516187382,0.0919182519627951,"327330","Concrete pipe, brick, and block manufacturing",397371667.415327,0.880372395532889
"46",45,"327390","Other concrete product manufacturing",34000,0,37,868,48385838,60717137.16875,61795714.707976,927.6696091421,65436887.9154397,0.689718109916853,0.281843043009862,232174926.926084,94874829.2593453,79348783.1650865,1657457.8515522,3952279.73185273,22979124.3885101,12557578.3863148,0,232174926.926084,0.00399556326526782,0.266160155733136,0.261514617330235,0.341762929424107,0.0170228533467397,0.0540867119140416,"327390","Other concrete product manufacturing",511353955.721166,0.883641954816101
